2752,,
General,0.0.3,Damage Scaling will no longer affect Online Matches.
Maypul,0.0.12,Strong attacks no longer deal increased knockback on wrapped opponents. This is to remove the extra benefit she gets for wrapping with Lily in order to secure an earlier KO.
Maypul,0.0.12,Down Special Ground cast total frames increased from 24 > 27 Frames.
Maypul,0.0.12,Up Special Tether end location moved from 40px away from the center of her target to 46px. This moves her out of range of Orcane’s Puddleless Up Strong and Maypul’s Up Strong as guaranteed punishes for all 3 tether directions.
Maypul,0.12.1,Maypul Up Special can now perform the uppercut by holding either Attack OR Dodge during the startup frames.
Maypul,0.12.2,Opponents can no longer tech out of the wrapped state when wrapped by a wall.
Maypul,0.13.0,Lily no longer wraps marked opponents. Instead she attacks all nearby opponents. Lily goes away after attacking.
Maypul,0.13.0,Lily’s attack has 9 frames of startup and is dodgeable in the neutral. It only has 3 frames of startup if Lily’s target is in hitstun to prevent players from always being able to tech before the attack goes off.
Maypul,0.13.0,Lily knocks opponent away from her center horizontally similarly to Absa’s Cloud.
Maypul,0.13.0,Tether base travel time is 3 frames faster when your opponent is in hitstun when you trigger it and 5 frames slower when they are not in hitstun.
Maypul,0.13.0,Maypul now has 7 frames of aerial recovery on tether (same as grounded recovery) if your opponent was not in hitstun when you triggered tether.
Maypul,0.13.0,Tether travel is now projectile immune instead of entirely invincible. This is to remove its incredible power in the neutral at dodging around attacking.
Maypul,0.13.0,Up Tilt recovery remains at 12 Frames. Now has 16 frame whiff recovery.
Maypul,0.13.0,Parrying Maypul no longer removes your mark. This is because her Tether and Lily reworks do not necessitate the removal of mark currently.
Maypul,0.13.0,Maypul's neutral hurtbox was reshaped to match her visual more. Slightly thinner and slightly taller.
Maypul,0.13.0,Neutral Air Hand hitboxes slightly reduced in size. This is to reduce the ease of her tech chases.
Maypul,0.13.0,Forward Tilt Base Knockback Reduced from 7 > 6. This is to reduce how easy it is to get gimpable Rivals far off stage.
Maypul,0.13.0,"Forward Tilt, Jab 1 and Jab 2 Hitboxes reduced very slightly in size. (Around 10% reduction). This and the following two are to reduce her reliance on Jabs and Forward Tilt in the neutral."
Maypul,0.13.0,Forward Tilt Recovery increased from 10 Base 14 Whiff to 12 Base 16 Whiff.
Maypul,0.13.0,Jab Hit 1 and 2 Damage Reduced from 4 > 3.
Maypul,0.13.0,Fair - Hit frame 14-15 -> 13-14
Maypul,0.13.0,Dair - Causes Extended Parry Stun flag 0 -> 1
Maypul,0.13.0,Down Special (Aerial) - No longer projectile immune
Maypul,0.13.1,Bug Fix: Taunting while Lily is attacking will no longer cause Lily to stay active yet no longer attack.
Maypul,0.14.0,Dash Attack whiff lag 16 > 20.
Maypul,0.14.0,Nair landing lag 16 > 9.
Maypul,0.14.0,Nair autocancel frame 4 > 2.
Maypul,0.14.0,Nair hurtbox extended.
Maypul,0.14.0,Dair landing lag 5 > 7.
Maypul,0.14.0,Bair hurtbox extended.
Maypul,0.14.0,"Base wrap frames 30 > 24, wrap scaling .2 > .14."
Maypul,0.14.0,Whiff landing lag added to Nair and Dair.
Maypul,0.14.0,Jab hit 2 base knockback 4 > 5.
Maypul,0.14.0,Jab hit 2 whifflag 0 > 13.
Maypul,0.14.0,"Dtilt width 100 > 70 (reaches the same distance forward, but not as far back). This is to reduce her insane tech chasing ability."
Maypul,0.14.0,Aerial dspecial goes into special fall. To make it more consistent with Forward Special and give it some counter play when used mid combo.
Maypul,0.14.0,Plant attack active frames 3 > 1. Makes rolling to avoid the attack more consistent.
Maypul,0.14.0,Walljump now goes slightly outward instead of straight up.
Maypul,0.14.0,Uspecial Sling base increased from 4 > 6. Sling Time by distance increased slightly.
Maypul,0.14.0,Bug Fix: Removed inconsistent forward burst on jab combo.
Maypul,0.14.0,"Bug Fix: If a wall is destroyed while Maypul is clinging onto it, she will automatically walljump."
Maypul,0.14.1,Lily Lifespan: Dies on frame 563 > 803
Maypul,0.14.1,Walljump speed increased slightly
Maypul,0.15.0,"All of Maypul's aerials autocancel on the last 5 frames of the attack except for the following: 
Maypul Fair: 8 frames of landing lag"
Maypul,0.15.0,"Whiff lag removed on everything but dash attacks
Maypul ftilt: 12 recovery, 16 whiff > 14 recovery
Maypul utilt: 12 recovery, 16 whiff > 16 recovery
Maypul dattack: 8 recovery, 20 whiff > unchanged
Maypul fspecial: 8 recovery, 12 whiff > 8 recovery"
Maypul,0.15.0,Utilt hitboxes slightly reduced in size to match animation better and allow for better whiff punish opportunities
Maypul,0.15.0,Nair startup 8 > 10
Maypul,0.15.0,Nair outer hitbox active frames 7 > 5 (active window shortened by 2 frames as well so the endlag is still the same)
Maypul,0.15.0,Ustrong startup 12 > 14
Maypul,0.15.0,"Base wrap frames 24 > 34, wrap scaling .14 > .1 (Overall increases wrap time without making wrap into Ustrong guaranteed until around 100%)"
Maypul,0.15.0,Nspecial will now mark Etalus when he's armored
Maypul,0.15.0,Nspecial hitbox extended backward (for the first frame only) to prevent it from passing through opponents
Maypul,0.15.0,"Holding left or right at the beginning of Uspecial's recovery frames will give Maypul a small horizontal boost, helping her recovery a little bit after last patch's walljump change"
Maypul,0.15.0,"Uspecial input reverted to the tap/hold version. If special is held, Maypul will use the tether Uspecial. If special is tapped, Maypul will use the normal Uspecial"
Maypul,0.15.0,Uspecial will perform the tether version if the attack button is pressed any time during the startup. This is for those who want a more consistent way to buffer tether in the middle of combos
Maypul,0.15.0,"Root Dair removed. While the root was a cool attack, it didn't fit with Maypul's ""grounded rushdown"" archetype and reduced her weakness of being above opponents"
Maypul,0.15.0,"Dair replaced with a multihit drill move that knocks opponents upward and away at the end. The multihit is a very weak spike with no knockback scaling that can be escaped with downward SDI, but only if Maypul doesn't fast fall"
Maypul,0.15.0,"For those who love Maypul’s Root, give Drill a chance! We are still in Early Access so we will be assessing how both attacks fit into her kit while maintaining her unique style."
Maypul,0.15.0,Aerial Dspecial goes through platforms if down is held
Maypul,0.15.0,Aerial Dspecial no longer goes into special fall
Maypul,0.15.0,Aerial Dspecial recovery 6 > 10
Maypul,0.15.0,Lily now wraps opponents who are both marked and in hitstun. Otherwise she will do her standard attack.
Maypul,0.15.0,Bug Fix: Parrying the 2nd frame of Uspecial will no longer cause Maypul to rise extremely high in the air
Maypul,0.15.1,Maypul Up Special can now break stationary rocks.
Maypul,0.15.2,Extended parry stun changed to be less punishing at short/medium ranges but it remains the same at long ranges. (Maypul down-air)                                                                                             
Maypul,0.15.2,Maypul’s Down Air Root is back for now! The main reason to go back to the root is that we find her a bit less fun to play without the variety root gives. We have increased the end lag from 12 > 18 to make it not as powerful when maypul is very high. 
Maypul,0.15.2,Down Air Root projectile can now be destroyed by melee attacks. It is difficult to time but some hitboxes can protect players from the root before it strikes.
Maypul,0.15.2,Jab 1 startup increased from 3 to 4 frames.
Maypul,0.15.2,Maypul is no longer considered grounded while tethering through ground (prevents her from being frozen and pillar gimped mid-tether)
Maypul,0.15.5,Hit Cancelling mechanic added. Specific values can be found here: http://i.imgur.com/hb1OVAA.png
Maypul,0.15.5,Extended parry stun increased by 10 frames if your attack had ended before your projectile was parried. (Maypul down-air)
Maypul,0.15.5,Down Tilt damage 9 > 7.
Maypul,0.15.5,"Back Air damage 5, 6 > 4, 5."
Maypul,0.15.5,Neutral Air weak hit damage 5 > 4.
Maypul,0.15.5,Bug Fix: Parrying Maypul's dair no longer causes it to hurt Maypul.
Maypul,0.15.6,Bug Fix: Maypul can now use the strong button when facing right again. Sorry about that.
Maypul,0.15.6,Maypul Up Tilt recovery reduced from 16/24 to 13/20. The previous lag made up tilt too committal for the type of attack it is.
Maypul,0.15.7,Neutral Air Startup reduced from 10 to 8. This attack is important to the speed and finesse of Maypul’s combo game and just felt too slow.
Maypul,0.15.7,Up tilt active increased from 3 to 4 to line up with visual of the roots.
Maypul,0.15.7,Aerial Down Special Hitbox and Hurtbox adjusted to be less disjointed.
Maypul,0.15.7,"Fat Lily returns! Feed Lily 3 times to make her fat, making her last until she is placed again, attacks or wraps. Since you can still parry or roll to bait out Fat Lily, this should be a minor Lily buff."
Maypul,0.15.9,"Can not plant a new Lily when one already exists (as a result, Fat Lily had to be removed)."
Maypul,0.15.9,Parrying Lily’s attack now puts Lily in a stunned state for 4 seconds. Lily still disappears after being parried.
Maypul,0.15.10,Lily lifespan reduced 12 seconds > 10 seconds.
Maypul,0.15.10,Lily will attack if Maypul is in hitstun again. It was way too unpredictable to work well for the opponent.
Maypul,0.15.10,"Maypul Down Strong Hit 1 Art and Hitbox adjusted to match. Art reduced, hitbox expanded by 2 pixels."
Maypul,0.15.10,Maypul Up Strong Art and Hitbox adjusted to match. Thinner near maypul wider at the top.
Maypul,1.0.0,Maypul Root not destroyed by hitboxes. Damage 6 > 5.
Maypul,1.0.0,Maypul lower Usmash hitbox reinspect. (only 8 pixels wider)
Maypul,1.1.2,Fstrong hitbox made slightly bigger
Maypul,1.1.2,Added 2 hitboxes to Dstrong in order to match the animation better
Maypul,1.1.2,Strong attack wrap time scaling increased from .1 > .13
Maypul,1.1.2,Fair can no longer reverse
Maypul,1.2.0,"Maypul’s air friction has been increased from .05 > .06.
Maypul dies very early so this gives her a little help in making her very slightly harder to KO horizontally."
Maypul,1.2.0,Utilt recovery decreased from 13 > 10. (whiff decreased from 20 > 15)
Maypul,1.2.0,Dash attack hit 1 has been updated to more reliably link into hit 2.
Maypul,1.2.0,Uair hitbox 3 increased from 70×60 > 80×80.
Maypul,1.2.0,Nair hitbox 1 (inside hitbox) increased from 70×40 > 90×40.
Maypul,1.2.0,Fair hitbox increased from 60×80 > 80×85.
Maypul,1.2.0,Lily bite damage increased from 4 > 8.
Maypul,1.2.3,"Uspecial tether (only when appearing above your opponent) can no longer be cancelled into an attack.
There are now 7 frames of lag before you can up air. This prevents some degenerate tether combos."
Maypul,1.2.3,Uspecial can now only drop through platforms if you hit with the move.
Maypul,1.2.3,Uair angle increased from 60 > 70 degrees toward Maypul.
Maypul,1.2.4,Nair hit lockout time has been shortened to the minimum value. This is to prevent Lily from missing her attack when Maypul Nairs someone right next to her.
Maypul,1.2.4,The knockback angles for Uair 1 and 2 have been reverted back from 70 > 60.
Maypul,1.2.4,"Uair hits 1 and 2 now have double scaling only when Uair is performed after tethering. 
Our goal is to keep tether Uair good while preventing it from being 100% guaranteed. This change introduces a 50/50 on DI between tether Uair and tether Nair combos."
Maypul,1.2.5,Maypul dash attack now links as intended (i.e. is more reliable) between hit one and two.
Maypul,1.3.0,Parrying a non-projectile hit will now remove the watcher’s mark.
Maypul,1.3.0,Uair hitboxes now match the animation better (still has the same range in all 4 directions).
Maypul,1.3.0,Can no longer cancel the end of the tether animation with an Uspecial (tether Uspecial was a guaranteed combo on Etalus).
Maypul,1.3.3,"Uair hit 1 and 2 SDI modifier increased from 1 > 1.2. 
This prevents uair > tether > uair from being guaranteed which had somehow worked its way back into the game."
Maypul,1.3.5,"Forward Special now has double the endlag if it whiffs, but only if it was started on the ground (or within 32px above ground) and was not reversed."
Maypul,1.3.6,Lily has been brought to heel (will now attack when she's supposed to)
Maypul,1.4.1,Forward Air hitbox now matches animation better.
Maypul,1.4.1,Forward Special will no longer auto-reverse after reversing a tether to an opponent.
Maypul,1.4.5,Parrying ANY move now removes Watcher’s Mark.
Maypul,1.4.5,Up Special can no longer be platform-cancelled during hitpause.
Maypul,1.4.5,Wrapping an opponent with a strong attack starts a 3 frame lockout where they can’t be wrapped again. The lockout timer doesn’t start counting down until they break free from the wrap.
Maypul,1.4.5,"Non Tether Up Special now has a 1 frame hitbox before the rising hitbox that has less scaling than the rising hit. Uspecial can only be cancelled between the 2 hits.
Side effects:
Total damage: 8 > 10
Startup: 10 > 9
Hitpause increased"
Maypul,1.4.5,Bug Fix: Down Air’s root no longer moves double speed on moving platforms.
Maypul,1.4.5,Bug Fix: Down Air hurtbox fixed.
Maypul,1.4.6,Maypul Uspecial hit 1 size changed to better overlap the bottom of hitbox 2 and to reach platforms above her
Maypul,1.4.6,Taunt can no longer be turbo-cancelled
Maypul,1.4.9,Uspecial can no longer drop through platforms after being parried (in previous patches hitting another player/object at the same time as getting parried on the first frame of the attack allowed Maypul to drop through the platform and cancel the parry stun).
Maypul,1.4.9,Lily will no longer detect respawning players.
Maypul,1.4.10,Attacks that wrap will no longer create the purple kill effect.
Maypul,1.4.13,Aerial F-Special's animation is now correctly lined up with her hurtbox. This is a visual change only.
Maypul,1.4.14,Fair hit lockout reduced from 4 > 0.
Maypul,1.4.14,Fspecial ledge snap threshold increased from 13px > 20px.
Maypul,1.4.14,Aerial Fspecial dash speed increased from 12 > 14.
Maypul,1.4.14,Uspecial speed boost when holding left or right after rising increased from 2 > 3.
Maypul,1.4.14,Aerial Dspecial’s endlag can now be cancelled into Fspecial.
Maypul,1.4.14 - Hotix,Aerial Dspecial can no longer be cancelled into Fspecial after being parried.
Maypul,1.4.14 - Hotix,Fspecial that starts on the ground but ends in the air will now have the shorter endlag that aerial Fspecial usually has. This makes sure that Maypul’s momentum is conserved like a normal aerial Fspecial.
Maypul,1.4.15,"Uspecial hit 1 now moves opponents while in hitpause, but only if their hurtbox will not be hit by the 2nd hitbox (shouldn’t affect normal usage of the move, but should make it still connect when hitting extended hurtboxes)."
Maypul,1.4.17,Holding the dodge button during Up Special’s startup will prevent Maypul from tethering.
Maypul,1.4.20,Vertically moving seeds will no longer be destroyed when touching Lily unless she is idle.
Maypul,1.4.20 - Hotfix,Further ground collision was added to seeds for when they touch the ground beneath Lily. This ensures it is destroyed in situations where Lily woud have previously removed it.
Maypul,1.4.21,"Lily will no longer try to attack enemies whose hurtboxes aren’t touching her (unless they’re invincible, in which case she will activate the same as previous versions)."
Maypul,1.4.21,Lily can no longer eat a seed on the frame it is created (this prevents Lily from eating seeds that would otherwise mark a player between Maypul and Lily).
Maypul,1.4.21,Hitting players immediately after they’re wrapped by Lily will no longer result in no knockback.
Maypul,1.4.21,Parrying will no longer remove Maypul’s mark if the Maypul is on the same team as the parrying player. This also applies to Clairen’s Dspecial.
Maypul,1.4.22,Jab 2 no longer goes into parry stun.
Maypul,1.4.22,Jab 2 can now be canceled into jab/tilts even on whiff.
Maypul,1.4.25,"Fair base knockback decreased from 6 > 5.5; knockback scaling increased from 0.5 > 0.65
Dan: This change is to allow Maypul to close stocks with Fair more reliably when her opponent is above 100% while not changing the combo flow of Fair below 100% too much."
Maypul,1.4.25,"Uspecial can now break projectiles.
Dan: Some Uspecials like the start of Zetter's cannot destroy projectiles intentionally. Maypul’s Uppercut had this property but since the hitbox is only above her and not blocking the front of her body, she doesn't need it"
Maypul,2.0.7.0,Dash attack hit 1 active frames: 4 > 6. Reduces the inactive frames between the hits.
Maypul,2.0.7.0,Lily can no longer be bashed while she’s stunned.
Maypul,2.0.8.0,"Changed position Dattack 1 pushes enemies in hitpause, 60 -> 50."
Maypul,2.0.8.0,"Bair Hit 2’s height increased, 50 -> 65."
Maypul,2.0.8.0 - Hotfix,The position Dattack 1 pushes enemies to now scales from 60 to 50 based on how late it hits.
Mollo,2.1.1.0,"Finisher Bomb countdown increased, 30 -> 50. Spamming a massive kill move was never the intention of the finisher. A longer fuse means Mollo players will need to set up for the big reward."
Mollo,2.1.1.0,"Finisher Bomb reduced weight, 1.25x -> 1.6x. For reference, other bombs take 1.8x base knockback."
Mollo,2.1.1.0,"Adjusted explosion VFX layers of Finisher Bomb to primarily appear behind players. This allows players to see where they are in relation to the explosion, helping with reactionary DI."
Mollo,2.1.1.0,Bug Fix: Finisher Bomb now puts Mollo in parry stun on successful parry.
Mollo,2.1.1.0,"Increased Flashbang damage, 0% -> 5%. This bomb should not have been dealing 0% in the first place but it was particularly noticeable when Mollo could use it to stall off stage."
Mollo,2.1.1.0,Bug Fix: Fixed flashbangs not applying full hitpause to attacking players.
Mollo,2.1.1.0,"Default bomb hitpause increased, 6 + 0 -> 8 + 1.0. Default bombs were killing light characters a bit too early off the top. Peeling off some base knockback allows us to reduce those surprise KOs while still keeping it a KO option at high percents."
Mollo,2.1.1.0,Primed bombs now properly explode in Mollo’s hand when hitstun ends.
Mollo,2.1.1.0,"Held bombs will now continue their timer when Mollo is in hitstun. Mollo should feel more powerful with a bomb in hand but also at risk. Due to some bugs and timing, this goal was muddy at launch."
Mollo,2.1.1.0,Bombs will not bonk players in hitstun moving faster than 6 pixels per frame. It was a frustrating experience to land a KO attack on Mollo only to have an errant bomb bonk him and negate all the knockback. 
Mollo,2.1.1.0,"Bug Fix: Bombs that explode on bonk should now assign the hitboxes to the last player that hit it, and not just the Mollo that made it. (Meaning bonking a mollo with their own bomb should properly blow them up.) "
Mollo,2.1.1.0,"Reduced bonk hitpause, 12 -> 7. Bonks had enough hitpause to lock opponents in place for too long. This was especially problematic getting hit by a bomb whose fuse was running low causing a likely KO with a finisher bomb."
Mollo,2.1.1.0,Down Special now causes bomb detonations 1 frame earlier. Bat hits shouldn’t be overridden by bomb explosions anymore.
Mollo,2.1.1.0,Bug Fix: Fixed a bug causing bombs to occasionally float in the air.
Mollo,2.1.1.0,Bug Fix: Fixed a bug that allowed several unique explosions when Mollo’s primed bombs blew up in his hand.
Mollo,2.1.1.0,Bug Fix: Fixed a bug that allowed opponents to crouch cancel forward tilt at any percent. 
Mollo,2.1.1.0,"Forward tilt hitpause increased, 6 + 0.6 -> 8 + 0.9. Reactionary DI should be much easier now."
Mollo,2.1.1.0,Cleaned up Ustrong’s animation.
Mollo,2.1.1.0,"Reduced KB on the last hit of up strong, 10 + 1.0 -> 8 + 1.0"
Mollo,2.1.1.0,"Increased Ustrong’s endlag, 12 -> 17"
Mollo,2.1.1.0,"Bug Fix: Down strong's center hitbox hitpause increased, 5 + 0.5 -> 10 + 0.5"
Mollo,2.1.1.0,"For rapid jab, repeated attack inputs should keep spraypainting more reliably."
Mollo,2.1.1.0,Removed hitpause scaling on rapid jab to prevent stunlocking (was at 0.6x previously). 
Mollo,2.1.1.0,Hit one of dash attack now breaks Kragg's rock.
Mollo,2.1.1.0,Fixed an error causing neutral air hitboxes to be arranged incorrectly.
Mollo,2.1.1.1 - Hotfix,Mollo no longer gets stunned from parrying his own Finisher.
Mollo,2.1.1.1 - Hotfix,Bombs now push out of each other correctly.
Mollo,2.1.1.1 - Hotfix,"When hitting mollo with a primed bomb in his hand, the timer should now reset on each hit (meaning it won't interrupt your combo)."
Mollo,2.1.1.1 - Hotfix,Thrown bombs no longer teleport to the center of Mollo during the throwing animation.
Mollo,2.1.2.0,Added an aerial version of Down Throw with bombs. 
Mollo,2.1.2.0,Adjusted bomb sprites to more clearly show when they have a bonk hitbox. 
Mollo,2.1.2.0,Added HUD indicator to show whichever bomb Mollo is holding. 
Mollo,2.1.2.0,Bug Fix: Fixed a bug causing delayed explosions of Firecracker when held by Mollo.
Mollo,2.1.2.0,Bug Fix: Hitting a bomb downward while on the ground now properly bounces them upward.
Mollo,2.1.2.0,Flashbang stun timer reduced 45 > 30
Mollo,2.1.2.0,"Flashbang hitstun multiplier reduced, 1.0 > 0.8 "
Mollo,2.1.2.0,Adjusted flashbang sprite to more clearly define it from a firecracker.
Mollo,2.1.2.0,"Default bomb KB angle, 70 > 80. Default bombs were a bit too difficult to DI based on their position relative to the player. A higher angle makes bad DI less likely to KO off the top, but also makes follow-up combos from Mollo easier in the process."
Mollo,2.1.2.0,"Adjusted explosion hit FX layers of Finisher Bomb to primarily appear behind players. This adds to a change last patch that allows players to see where they are in relation to the explosion, helping with DI on reaction."
Mollo,2.1.2.0,Bug Fix: Removed jab whifflag.
Mollo,2.1.2.0,"Jab 1 recovery, 8 > 12"
Mollo,2.1.2.0,"Jab 1 active frames, 3 > 2"
Mollo,2.1.2.0,"Jab 2 recovery, 12 > 16 "
Mollo,2.1.2.0,"Forward tilt damage increased, 5 > 9"
Mollo,2.1.2.0,"Forward tilt endlag reduced, 18 > 14"
Mollo,2.1.2.0,Bug Fix: Added forward tilt whifflag. 
Mollo,2.1.2.0,"Up tilt damage increased, 6 > 8 "
Mollo,2.1.2.0,Removed down tilt jump cancel
Mollo,2.1.2.0,Down tilt BKB 6 > 7
Mollo,2.1.2.0,"Dash attack bombless endlag increased, 15 > 18. The bombless Dash Attack is meant to push opponents off of Mollo rather than a strong combo tool. The extra endlag will still allow for some pressure with more strict follow-ups."
Mollo,2.1.2.0,"Neutral Air hit 1 damage decreased, 5 > 2"
Mollo,2.1.2.0,"Neutral Air hit 1 hitstun multiplier reduced, 1.0 > 0.5"
Mollo,2.1.2.0,Bug Fix: Forward air whifflag now applies properly.
Mollo,2.1.2.0,"Hitpause on down air sour hitboxes reduced, 7 + 0.6 > 6 + 0.5"
Mollo,2.1.2.0,"Hitpause on down air sweet hitboxes increased, 7 + 0.6 > 10 + 0.8"
Mollo,2.1.2.0,"Down air sweetspot vs. grounded KB reduced, 7 + 0.7 > 5 + 0.7. The sweetspot knockback reduction vs grounded opponents should make grounded spikes easier to follow up on at combo percents."
Mollo,2.1.2.0,"Endlag increased, 8 > 12"
Mollo,2.1.2.0,Bug Fix: Down air whifflag now applies properly. 
Mollo,2.1.2.0,"Forward strong final hit size changed, 62 x 57 > 80 x 72"
Mollo,2.1.2.0,Forward strong hits 1 and 2 are no longer techable on the ground (can still be wall teched).
Mollo,2.1.2.0,Removed the extinguish move; nspecial now does nothing when holding a bomb. Mollo’s ability to extinguish the bomb ran counter to our goal of making the bomb pull a commitment.
Mollo,2.1.2.0,"Down strong's wide hitbox height increased, 58 > 60."
Mollo,2.1.2.0,"Down strong's wide hitbox Y increased, -30 > -28. "
Mollo,2.1.2.0,Bug Fix: Adjusted up special's final hurtboxes to align better with sprites.
Mollo,2.1.2.0,"Down special tipper angle increased, 35 > 40"
Mollo,2.1.2.0,"Down special tipper KB decreased, 11 + 1.1 > 9 + 1.05"
Mollo,2.1.2.0,"Down special main KB decreased, 8.5 + 1.1 > 8 + 0.95"
Mollo,2.1.2.0,"Drifting forward with down special now launches Default Bomb and Flashbang instead of detonating instantly, to mimic Firecracker and Finisher behavior. "
Mollo,2.1.2.0,Bat now launches rocks instead of breaking them. 
Mollo,2.1.2.0,"Waveland speed multiplier reduced, 1.5 > 1.25"
Mollo,2.1.2.0,"Waveland time reduced, 9 > 8"
Mollo,2.1.2.1 - Hotfix,"Super armor now armors through Mollo's flashbang, but will be put into the same amount of hitpause as the flashbang normally does."
Mollo,2.1.2.1 - Hotfix,Fixed Ori bashing a bomb while it's still in Mollo's hand.
Mollo,2.1.2.1 - Hotfix,"Adjusted how Mollo bombs blow up in his hand. (The fuse does not tick down during hitpause if it triggers this way, so moves that modify hitpause afterwards like Bash don't desync the bomb's timer.)"
Mollo,2.1.2.1 - Hotfix,Fixed Ori being able to be bonked by a bomb they just bashed.
Mollo,2.1.2.1 - Hotfix,Fixed bashed bomb ownership; Ori should be safe from bashed bombs while Mollo will be hit by them.
Mollo,2.1.2.2 - Hotfix,Fixed bombs pushing out of terrain in the wrong direction.
Olympia,2.1.1.0,"Reduced Neutral special’s break hitbox size, 284 x 284 -> 270 x 270. This should remove scenarios where someone gets crystalized while barely touching the field."
Olympia,2.1.1.0,Nspecial’s projectile now resets its despawn timer when parried. A parried projectile will now reach the Olympia that threw it.
Olympia,2.1.1.0,Crystalized sprite is now bi-colored.
Olympia,2.1.1.0,Forward Special now includes the gauntlet as the hurtbox.
Olympia,2.1.1.0,"Forward Special’s hitbox moved inwards, 12 -> 6"
Olympia,2.1.1.0,"Forward Special’s endlag is now 28 to 36 frames, depending on charge – was 20 to 36. "
Olympia,2.1.1.0,"Reduced the amount Forward Special can push up when hitting a ledge, 40 -> 32 pixels. Olympia will still get a boost onto stage, but now it won’t be so much that it’s visually jarring when she pops up onto the ground when hitting the wall."
Olympia,2.1.1.0,"Uair landing lag increased, 5 -> 8"
Olympia,2.1.1.0,"Uair endlag increased, 7 -> 10"
Olympia,2.1.1.0,"Uair 2’s base knockback increased, 6 -> 7 "
Olympia,2.1.1.0,"Dair sourspot knockback reduced, 6 Base + 0.8 Scaling -> 4 Base + 0.6 Scaling"
Olympia,2.1.1.0,"Dair sweetspot knockback reduced, 10 Base + 1.0 Scaling -> 7 Base + 0.8 Scaling"
Olympia,2.1.1.0,"Dair sourspot hitpause reduced, 6 Base + 0.8 Scaling -> 6 Base + 0.6 Scaling"
Olympia,2.1.1.0,"Dair sweetspot hitpause reduced, 20 Base + 1.0 Scaling -> 12 Base + 1.0 Scaling"
Olympia,2.1.1.0,"Reduced Bair’s second hitbox active frames, 14 -> 11"
Olympia,2.1.1.0,"Reduced Bair’s active window, 14 -> 11"
Olympia,2.1.1.0,"Increased Bair’s endlag, 2 -> 5"
Olympia,2.1.1.1 - Hotfix,Olympia's Forward Special jump cancel now works with tap jump.
Olympia,2.1.2.0,"Hurtboxes now include the gauntlets on all attacks. Originally we wanted her reinforced armored hand to avoid having hurtboxes on them, but based on her archetype, she does not need the added disjoint."
Olympia,2.1.2.0,Bug Fix: Jab hit 1 no longer has whifflag.
Olympia,2.1.2.0,"Forward tilt hitbox active time reduced, 9 > 6 (FAF remains the same)"
Olympia,2.1.2.0,Forward tilt hitbox size reduced.
Olympia,2.1.2.0,Reduced the size of up tilt's second hitbox to cover less space directly in front of her. 
Olympia,2.1.2.0,Removed dash attack jump cancel.
Olympia,2.1.2.0,"Neutral air hit 1 hitstun multiplier reduced, 1.0 > 0.5 "
Olympia,2.1.2.0,"Forward air main hitbox size decreased, 76 x 76 > 66 x 66"
Olympia,2.1.2.0,"Up air first and second hitbox hitstun multiplier changed, 1 > 0.85"
Olympia,2.1.2.0,"Up air third (spike) hitbox angle flipper removed, 6 > 0 "
Olympia,2.1.2.0,"Reduced back air main hitbox active time, 9 > 6"
Olympia,2.1.2.0,"Reduced back air underside hitbox active time, 11 > 6"
Olympia,2.1.2.0,Adjusted back air window timings so active time is 14 > 6 and endlag is 2 > 10. This means whifflag will apply more to the move.
Olympia,2.1.2.0,"Reduced back air main hitbox width, 70 > 60"
Olympia,2.1.2.0,Reduced back air underside hitbox size and position. 
Olympia,2.1.2.0,"Forward Strong is now split between an early strong hit lasting 3 frames, and a late hit beginning on frame 4. The early hit is unchanged from the previous version and the late hit has 12 base hitpause and 0.8 KB scaling."
Olympia,2.1.2.0,"Neutral Special projectile hitstun multiplier reduced, 1.0 > 0.5. The projectile throw itself is not intended to be her main strength on Neutral Special. This puts the projectile portion more in line with other projectiles of similar knockback."
Olympia,2.1.2.0,Creating the neutral special gem (either automatically or manually) now puts Break Nspecial on 10 frames of cooldown. 
Olympia,2.1.2.0,Bug Fix: Bashed neutral special gem is now destroyed when it hits the ground.
Olympia,2.1.2.0,Bug Fix: Fixed parry stun not applying if you hit someone or something with forward special after getting parried.
Olympia,2.1.2.0,"Up special rapid hitbox size reduced, 72 x 72 > 60 x 60"
Olympia,2.1.2.0,"Up special finisher body hitbox width decreased, 95 > 75"
Olympia,2.1.2.0,"Up special pratfall landing time increased, 11 > 18"
Olympia,2.1.2.0,"Down special dodge cancel in the air now puts the move on cooldown until you land, walljump, or get hit. Limiting the cancel to once per airtime will make the option a calculated choice rather than a repeated optimal strategy."
Olympia,2.1.2.0,"Increased early attack startup, 2 > 10. Releasing the move early was able to sneak through certain multi-hits, this should make the move lose to multi-hit attacks while keeping it as a good counter to single-hit attacks."
Olympia,2.1.2.0,Bug Fix: Fixed down special armor being reapplied when releasing it.
Olympia,2.1.2.0,Bug Fix: Fixed down special armor being reapplied when releasing it.
Olympia,2.1.2.1 - Hotfix,The changes to Mollo's flashbang also fixed Olympia zooming offstage if she armors a flashbang.
Olympia,2.1.2.1 - Hotfix,Fixed Olympia being unable to walljump when Jump-cancelling Fspecial against a wall.
Olympia,2.1.2.1 - Hotfix,Armoring projectiles as olympia will no longer put opponents into hitpause.
Orcane,0.0.3,Fixed a bug where he had the wrong hurtbox during puddle version of Forward Special.
